hex_id,flag_no_transition,primary_type,group_type,total_area,diag_total,offdiag_total,offdiag_ratio,dominant_value_col,dominant_area,dominant_share_of_offdiag,dom_from,dom_to,dom_from_name,dom_to_name,beta_obs,beta_nat_clim,beta_res_clim,share_nat_clim,dominance_clim,beta_nat_co2,beta_res_co2,share_nat_co2,dominance_co2,beta_clim,beta_co2,beta_res,share_abs_clim,share_abs_co2,share_abs_res,P90_trend,VPD90_trend,Tmean_trend,SM90_L1_trend,ET90_trend,SWnet90_trend,VPD_resid_trend
310176,FALSE,Ag_expansion,Ag_expansion,100350000,99000000,1350000,0.013452915,VALUE_601,1350000,1,6,1,sparse_vegetation,cropland,0.591848716,0.047295998,0.544552718,0.07991231,RESIDUAL,0.247792975,0.344055741,0.418676206,RESIDUAL,0.047295998,0.200496977,0.344055741,0.07991231,0.338763896,0.581323794,1.659438119,-0.000650932,0.06009026,0.001899864,1.43052813,-0.76123106,-0.005018074
310186,FALSE,Bare_or_sparse_to_grass_or_forest,Bare_or_sparse_to_grass_or_forest,98460000,89100000,9360000,0.095063985,VALUE_603,1980000,0.211538462,6,3,sparse_vegetation,shrubland,0.123832157,0.010390045,0.113442112,0.083904255,RESIDUAL,0.219443773,-0.095611616,0.696524422,NATURAL,0.010390045,0.209053728,-0.095611616,0.032978471,0.663545952,0.303475578,-0.91824959,-0.003468631,-0.047059248,0.001649846,-0.062794901,-0.342068593,0.000209836
310218,FALSE,Other,Other,100350000,99000000,1350000,0.013452915,VALUE_102,450000,0.333333333,1,2,cropland,forest,0.029925808,0.025780165,0.004145644,0.861469286,NATURAL,0.234126447,-0.204200638,0.53413639,NATURAL,0.025780165,0.208346282,-0.204200638,0.058814902,0.475321487,0.46586361,-0.075982027,0.008360459,0.177748581,-0.000628401,3.893280319,2.01011747,-0.003322666
310316,FALSE,Other,Other,100440000,93330000,7110000,0.07078853,VALUE_409,2790000,0.392405063,4,9,grassland,bare_areas,0.360195147,-0.038231688,0.398426836,0.087555118,RESIDUAL,0.169441455,0.190753693,0.470415706,RESIDUAL,-0.038231688,0.207673143,0.190753693,0.087555118,0.475596219,0.436848664,-2.697729242,0.014412749,0.068157893,-0.000746353,-1.725617839,-0.167183851,0.009733832
310604,FALSE,Bare_to_Sparse,Bare_to_Sparse,98370000,70470000,27900000,0.283623056,VALUE_906,17460000,0.625806452,9,6,bare_areas,sparse_vegetation,0.425635876,-0.012847245,0.438483121,0.02846528,RESIDUAL,0.198984949,0.226650927,0.467500416,RESIDUAL,-0.012847245,0.211832194,0.226650927,0.02846528,0.469350635,0.502184085,-0.390330806,0.001604299,0.019181863,-0.00053592,-0.900383277,-0.161537146,0.000515494
310605,FALSE,Bare_to_Sparse,Bare_to_Sparse,100440000,81990000,18450000,0.183691756,VALUE_906,7020000,0.380487805,9,6,bare_areas,sparse_vegetation,0.469611691,-0.012354657,0.481966348,0.024993187,RESIDUAL,0.199220108,0.270391583,0.424223059,RESIDUAL,-0.012354657,0.211574765,0.270391583,0.024993187,0.428010874,0.54699594,-0.399875336,0.001817219,0.019829863,-0.000472972,-0.911099406,-0.17783973,0.000673287
310606,FALSE,Bare_to_Sparse,Bare_to_Sparse,100350000,73800000,26550000,0.264573991,VALUE_906,19710000,0.742372881,9,6,bare_areas,sparse_vegetation,0.504445603,-0.01183711,0.516282713,0.022413682,RESIDUAL,0.199375465,0.305070138,0.395236798,RESIDUAL,-0.01183711,0.211212574,0.305070138,0.022413682,0.399933056,0.577653263,-0.433416216,0.002323521,0.020617826,-0.000388574,-0.905217962,-0.194042353,0.001114257
310608,FALSE,Bare_to_Sparse,Bare_to_Sparse,100350000,64620000,35730000,0.356053812,VALUE_906,32580000,0.911838791,9,6,bare_areas,sparse_vegetation,0.263375662,-0.013654105,0.277029767,0.046972352,RESIDUAL,0.197287557,0.066088105,0.749072848,NATURAL,-0.013654105,0.210941662,0.066088105,0.046972352,0.725673773,0.227353875,-0.598344243,0.003828152,0.024955215,-0.000346143,-0.927800485,-0.233768249,0.002282509
310609,FALSE,Bare_to_Sparse,Bare_to_Sparse,100440000,79740000,20700000,0.20609319,VALUE_906,18180000,0.87826087,9,6,bare_areas,sparse_vegetation,0.178057104,-0.014822976,0.19288008,0.071366189,RESIDUAL,0.196298139,-0.018241035,0.914975737,NATURAL,-0.014822976,0.211121115,-0.018241035,0.060703843,0.864594493,0.074701664,-0.666488515,0.003585498,0.026631427,-0.000290052,-1.041467303,-0.252691771,0.00190818
310612,FALSE,Bare_to_Sparse,Bare_to_Sparse,100350000,65160000,35190000,0.350672646,VALUE_906,34830000,0.989769821,9,6,bare_areas,sparse_vegetation,0.234596737,-0.004992628,0.239589365,0.020412902,RESIDUAL,0.204555195,0.030041542,0.871943904,NATURAL,-0.004992628,0.209547823,0.030041542,0.020412902,0.856758996,0.122828103,-0.27821284,0.002342082,0.025495223,-3.85E-05,-0.716593058,-0.282891247,0.000733798
